Series	Platform
GSE89398	GPL16131
GSE94432	GPL13829
GSE86621	GPL6801
GSE48099	GPL3718
GSE50973	GPL6801
GSE66070	GPL6801
GSE59443	GPL6986
GSE64582	GPL13829
GSE64582	GPL19699
GSE7344	GPL2873
GSE7210	GPL1266
GSE7210	GPL2641
GSE60015	GPL8736
GSE7068	GPL2004
GSE7068	GPL2005
GSE66337	GPL9777
GSE66337	GPL19827
GSE54185	GPL10123
GSE56109	GPL2873
GSE56109	GPL2879
GSE56109	GPL4093
GSE66398	GPL6801
GSE46452	GPL8841
GSE46452	GPL17052
GSE49396	GPL6801
GSE41210	GPL9075
GSE56518	GPL13135
GSE64891	GPL10152
GSE62347	GPL11365
GSE43679	GPL6801
GSE45476	GPL2873
GSE45476	GPL8355
GSE45476	GPL16865
GSE59032	GPL8888
GSE55638	GPL6801
GSE62717	GPL6801
GSE5051	GPL28
GSE5051	GPL2819
GSE5051	GPL2826
GSE5051	GPL2834
GSE5051	GPL2842
GSE5051	GPL3441
GSE5051	GPL3442
GSE5051	GPL3443
GSE54252	GPL6983
GSE54252	GPL6984
GSE6138	GPL3898
GSE57100	GPL3718
GSE46848	GPL570
GSE46848	GPL6801
GSE46848	GPL18318
GSE57270	GPL13135
GSE50252	GPL6801
GSE52901	GPL3718
GSE52901	GPL3720
GSE42577	GPL4091
GSE5511	GPL2004
GSE5511	GPL2005
GSE5511	GPL3720
GSE66839	GPL4091
GSE57279	GPL8887
GSE48548	GPL9128
GSE40777	GPL8687
GSE44549	GPL6801
GSE6042	GPL2843
GSE41356	GPL9777
GSE41356	GPL17964
GSE7260	GPL3372
GSE7260	GPL4989
GSE7260	GPL4990
GSE5013	GPL3811
GSE5013	GPL3812
GSE67125	GPL16131
GSE57087	GPL17641
GSE53021	GPL3718
GSE48920	GPL13135
GSE6260	GPL3528
GSE52442	GPL6984
GSE57548	GPL6801
GSE56422	GPL8882
GSE53626	GPL8888
GSE62218	GPL3720
GSE65720	GPL10123
GSE65720	GPL10150
GSE56311	GPL3718
GSE69613	GPL16131
GSE54509	GPL2005
GSE69440	GPL11157
GSE67604	GPL9128
GSE64728	GPL13135
GSE1078	GPL1048
GSE45843	GPL8737
GSE48351	GPL6801
GSE7255	GPL2004
GSE7255	GPL2005
GSE7255	GPL3718
GSE58718	GPL6986
GSE63623	GPL15436
GSE63623	GPL16707
GSE63623	GPL19457
GSE62940	GPL10150
GSE46951	GPL6801
GSE66136	GPL9075
GSE66136	GPL10150
GSE7490	GPL1266
GSE7822	GPL2004
GSE7822	GPL2005
GSE7822	GPL2879
GSE7822	GPL3718
GSE7822	GPL3720
GSE7822	GPL4091
GSE7822	GPL5144
GSE7822	GPL5149
GSE73005	GPL18637
GSE73879	GPL6801
GSE75069	GPL13829
GSE8046	GPL2005
GSE8026	GPL2013
GSE8090	GPL5000
GSE8145	GPL2013
GSE77313	GPL14965
GSE77557	GPL6801
GSE8738	GPL5713
GSE8757	GPL5737
GSE10129	GPL5772
GSE22401	GPL4560
GSE86988	GPL10152
GSE13331	GPL1485
GSE13331	GPL2616
GSE13331	GPL4544
GSE89878	GPL13829
GSE89878	GPL21168
GSE89878	GPL22678
GSE89927	GPL10150
GSE9598	GPL6088
GSE9672	GPL6181
GSE11447	GPL2641
GSE11771	GPL2827
GSE11929	GPL2843
GSE11929	GPL3441
GSE12088	GPL2879
GSE12088	GPL4091
GSE12088	GPL16300
GSE12280	GPL7096
GSE12393	GPL2616
GSE12520	GPL7199
GSE12520	GPL9336
GSE12714	GPL3718
GSE12789	GPL4093
GSE12794	GPL7313
GSE12794	GPL7314
GSE1841	GPL1506
GSE13117	GPL3718
GSE13117	GPL3720
GSE13439	GPL3718
GSE13989	GPL3718
GSE14016	GPL2005
GSE14016	GPL3718
GSE14741	GPL8036
GSE14803	GPL5114
GSE14860	GPL2004
GSE14860	GPL2005
GSE14860	GPL7260
GSE14860	GPL7264
GSE15079	GPL8187
GSE15096	GPL6801
GSE15931	GPL3720
GSE16406	GPL3718
GSE16408	GPL8641
GSE17092	GPL6985
GSE17205	GPL8887
GSE17206	GPL8887
GSE17210	GPL8888
GSE17318	GPL3718
GSE17403	GPL4091
GSE17403	GPL4133
GSE17403	GPL6102
GSE17403	GPL8948
GSE17403	GPL8950
GSE17403	GPL9052
GSE17557	GPL6982
GSE17557	GPL6983
GSE17574	GPL2004
GSE17574	GPL2005
GSE18137	GPL2826
GSE18137	GPL5477
GSE18122	GPL9128
GSE18152	GPL5114
GSE18197	GPL3718
GSE18197	GPL3720
GSE18663	GPL6984
GSE19003	GPL2700
GSE19003	GPL9128
GSE19034	GPL2616
GSE19034	GPL8490
GSE19416	GPL6801
GSE19574	GPL9128
GSE19949	GPL3921
GSE19949	GPL6801
GSE20144	GPL5477
GSE20564	GPL4091
GSE20564	GPL6801
GSE20355	GPL8634
GSE21032	GPL4091
GSE21032	GPL5188
GSE21032	GPL8227
GSE21032	GPL10264
GSE21248	GPL8887
GSE21276	GPL10303
GSE21597	GPL3718
GSE21597	GPL3720
GSE21990	GPL6801
GSE22615	GPL6801
GSE23785	GPL8887
GSE24092	GPL6804
GSE24144	GPL6801
GSE22864	GPL6985
GSE22864	GPL8855
GSE24418	GPL8693
GSE24715	GPL2005
GSE24715	GPL3720
GSE24823	GPL9128
GSE24823	GPL11068
GSE23452	GPL6801
GSE25826	GPL6984
GSE26121	GPL8882
GSE27229	GPL4091
GSE27125	GPL5175
GSE27125	GPL9115
GSE27125	GPL13135
GSE27892	GPL9128
GSE27923	GPL2004
GSE27923	GPL2005
GSE27923	GPL13283
GSE27923	GPL13284
GSE28329	GPL2873
GSE28329	GPL4091
GSE28397	GPL13372
GSE28572	GPL3718
GSE29172	GPL6801
GSE29228	GPL13519
GSE29667	GPL6801
GSE30217	GPL8736
GSE30481	GPL6801
GSE30460	GPL13829
GSE30800	GPL8737
GSE31168	GPL6801
GSE3435	GPL2920
GSE31276	GPL6801
GSE31984	GPL3720
